"network","program_type","start_year","Month_Name","Day","Day_of_the_Week"
"WOIO","news",2016,"Nov",2,"Wed"
"WEWS","news",2016,"Mar",22,"Tue"
"WBZ","news",2016,"Aug",5,"Fri"
"KTVN","news",2016,"Jan",16,"Sat"
"WHDH","not news",2015,"Dec",16,"Wed"
"KGO","news",2016,"Sep",1,"Thu"
"WJLA","news",2016,"Apr",25,"Mon"
"WOIO","news",2016,"Aug",31,"Wed"
"WUSA","news",2016,"Mar",24,"Thu"
"KOLO","not news",2016,"Jan",18,"Mon"
"WFTS","not news",2016,"Sep",29,"Thu"
"WFTS","news",2016,"Oct",3,"Mon"
"WPVI","news",2016,"Sep",21,"Wed"
"KWWL","not news",2016,"Jan",21,"Thu"
"WESH","news",2016,"Mar",9,"Wed"
"WHDH","news",2015,"Nov",30,"Mon"
"KCRG","news",2016,"Jan",19,"Tue"
"WHO","news",2016,"Jan",29,"Fri"
"WFLA","not news",2016,"Aug",12,"Fri"
"WCAU","not news",2016,"Apr",15,"Fri"
"KYW","not news",2016,"Oct",17,"Mon"
"KSNV","news",2016,"Nov",7,"Mon"
"KCNC","news",2016,"Oct",27,"Thu"
"WTVT","news",2016,"Nov",4,"Fri"
"WPVI","news",2016,"Nov",5,"Sat"
"WTVD","news",2016,"Mar",10,"Thu"
"KTVU","news",2016,"Nov",6,"Sun"
"WCAU","news",2016,"Aug",26,"Fri"
"KTVN","not news",2016,"Feb",16,"Tue"
"KSNV","not news",2016,"Oct",25,"Tue"
"KOLO","news",2016,"Feb",15,"Mon"
"WMUR","news",2016,"Jan",28,"Thu"
"KDSM","not news",2016,"Jan",28,"Thu"
"WFTS","not news",2016,"Sep",25,"Sun"
"WFTS","news",2016,"Oct",15,"Sat"
"KCCI","news",2016,"Jan",26,"Tue"
"KTIV","news",2015,"Dec",22,"Tue"
"WKYC","not news",2016,"Nov",1,"Tue"
"WLOS","news",2016,"Feb",1,"Mon"
"KYW","not news",2016,"Feb",26,"Fri"
"WKYC","news",2016,"Oct",27,"Thu"
"KOLO","news",2016,"Feb",7,"Sun"
"WHDH","news",2016,"Oct",19,"Wed"
"KUSA","news",2016,"Oct",28,"Fri"
"WHDH","not news",2015,"Nov",22,"Sun"
"WCVB","not news",2016,"Aug",16,"Tue"
"WCAU","news",2016,"Sep",15,"Thu"
"WTVT","not news",2016,"Oct",27,"Thu"
"WJLA","not news",2016,"Apr",13,"Wed"
"WOIO","news",2016,"Mar",11,"Fri"
