age,workclass,education,educational.num,marital.status,race,gender,hours.per.week,income,Date_of_Joining
25,Private,HS-grad,9,Never-married,White,Male,40,<=50K,17-03-2008
55,State-gov,Some-college,10,Married-civ-spouse,Black,Male,40,<=50K,16-09-2006
30,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,50,>50K,24-02-2016
30,Private,HS-grad,9,Never-married,White,Female,35,<=50K,12-09-2004
46,Private,Bachelors,13,Married-civ-spouse,White,Male,40,>50K,11-10-2016
64,Private,Some-college,10,Widowed,White,Female,24,<=50K,30-07-2014
46,Private,Preschool,1,Married-civ-spouse,White,Female,40,<=50K,11-03-2006
20,Private,Some-college,10,Never-married,White,Male,40,<=50K,19-12-2006
29,Private,Bachelors,13,Married-civ-spouse,White,Male,40,>50K,28-04-2005
30,Private,11th,7,Married-civ-spouse,White,Male,50,<=50K,10-02-2002
38,Private,Bachelors,13,Never-married,White,Female,40,<=50K,19-06-2018
33,Private,HS-grad,9,Married-civ-spouse,White,Male,55,<=50K,15-02-2016
30,Private,Some-college,10,Married-civ-spouse,White,Male,50,<=50K,15-07-2014
46,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,White,Male,40,>50K,01-11-2003
28,Private,Some-college,10,Never-married,White,Female,40,<=50K,04-03-2015
33,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K,07-01-2014
21,Private,HS-grad,9,Never-married,White,Male,45,<=50K,25-07-2009
35,Private,HS-grad,9,Divorced,White,Female,40,<=50K,21-12-2015
26,Private,Some-college,10,Never-married,White,Male,45,<=50K,20-06-2014
38,Private,Assoc-voc,11,Married-civ-spouse,White,Male,48,>50K,11-02-2010
60,Local-gov,10th,6,Divorced,White,Female,40,<=50K,18-06-2010
49,Local-gov,Assoc-voc,11,Married-civ-spouse,White,Male,56,>50K,23-07-2003
17,Private,10th,6,Never-married,White,Male,25,<=50K,24-11-2018
47,Private,HS-grad,9,Divorced,Amer-Indian-Eskimo,Female,40,<=50K,17-11-2018
42,Private,Bachelors,13,Separated,White,Male,40,<=50K,28-12-2001
23,Private,Assoc-voc,11,Married-civ-spouse,White,Male,40,<=50K,12-02-2006
20,Private,Some-college,10,Never-married,Asian-Pac-Islander,Male,30,<=50K,08-06-2002
24,Private,Bachelors,13,Never-married,White,Male,40,<=50K,27-11-2002
21,Private,HS-grad,9,Never-married,White,Male,40,<=50K,27-02-2006
35,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K,29-07-2015
40,Private,Assoc-acdm,12,Married-civ-spouse,White,Male,40,>50K,11-12-2017
48,Private,Prof-school,15,Married-civ-spouse,White,Male,70,>50K,12-08-2004
27,Private,Assoc-acdm,12,Married-civ-spouse,White,Male,40,<=50K,25-11-2004
59,Private,Bachelors,13,Married-spouse-absent,Black,Female,37,<=50K,10-11-2002
53,Self-emp-not-inc,Masters,14,Married-civ-spouse,White,Male,50,>50K,05-02-2005
30,Local-gov,Some-college,10,Never-married,Black,Male,40,<=50K,24-05-2012
68,Private,HS-grad,9,Widowed,White,Female,42,<=50K,12-11-2002
55,Private,11th,7,Separated,Black,Female,40,<=50K,28-03-2002
42,Private,HS-grad,9,Married-civ-spouse,White,Female,24,<=50K,13-03-2010
29,Self-emp-not-inc,Bachelors,13,Never-married,Black,Male,40,<=50K,02-04-2007
21,Private,HS-grad,9,Never-married,White,Male,40,<=50K,29-08-2018
66,Private,HS-grad,9,Married-civ-spouse,White,Male,16,<=50K,01-03-2004
45,Private,Bachelors,13,Married-civ-spouse,White,Male,50,>50K,28-01-2005
21,Private,HS-grad,9,Never-married,White,Female,30,<=50K,07-01-2002
30,Private,Assoc-acdm,12,Never-married,White,Female,53,<=50K,17-11-2004
17,Private,12th,8,Never-married,White,Female,30,<=50K,24-12-2014
35,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,60,>50K,17-01-2018
46,Private,HS-grad,9,Married-civ-spouse,White,Female,28,>50K,30-03-2005
50,Private,11th,7,Widowed,White,Female,40,<=50K,21-08-2001
62,Private,HS-grad,9,Never-married,White,Female,38,<=50K,25-05-2018
48,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,40,>50K,26-08-2014
53,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Black,Female,40,>50K,12-03-2012
